Year,Macro F1,Accuracy,Feature Count
1995,0.8553315665069625,0.8491852344529431,24
2005,0.8639150790086013,0.8576192064021341,25
2015,0.8989990213133945,0.89,31
2024,0.9060218306705853,0.8980542158656245,24
