,band,importance,year
0,pri_median,1.4202791574232,1995
1,slope,1.3109816026937933,1995
2,blue_median_wet,1.236905768144222,1995
3,blue_median,1.179131890344983,1995
4,green_median,1.1736167251711247,1995
5,ndvi_median,1.1516127951010797,1995
6,green_median_texture,1.1296395294783097,1995
7,pri_median_wet,1.1267304812380108,1995
8,swir1_median,1.1110149914057406,1995
9,ndvi_median_dry,1.0965434595477814,1995
10,blue_stdDev,1.062476410537374,1995
11,pri_median_dry,1.0558175864879256,1995
12,gcvi_median_dry,1.0509439701283982,1995
13,swir1_min,1.037822220429042,1995
14,green_median_wet,1.0359548874897746,1995
15,red_stdDev,1.0300625512528119,1995
16,blue_min,1.0185589602351024,1995
17,cai_stdDev,1.0172533946549798,1995
18,cai_median,1.0112433483038097,1995
19,nir_stdDev,1.0107860485901583,1995
20,red_median,1.0083779796257542,1995
21,green_stdDev,0.9916531636964235,1995
22,evi2_median,0.9873459288540567,1995
23,ndvi_stdDev,0.9817372732764253,1995
24,ndwi_median,0.977944338154317,1995
25,gcvi_median_wet,0.9759811780850196,1995
26,evi2_median_dry,0.9758396529062408,1995
27,ndwi_median_wet,0.9661116042762258,1995
28,evi2_amp,0.9636653060322995,1995
29,cai_median_dry,0.9626016911960675,1995
30,hallcover_stdDev,0.9621899391682628,1995
31,red_median_dry,0.9594686427518788,1995
32,savi_median,0.9563700401382055,1995
33,swir2_min,0.9545300107270531,1995
34,blue_median_dry,0.9475344239575366,1995
35,green_median_dry,0.9429301821608084,1995
36,ndwi_median_dry,0.9397840168288895,1995
37,swir1_median_wet,0.9364143704277034,1995
38,savi_median_wet,0.9358516365187293,1995
39,swir2_stdDev,0.9321096017911908,1995
40,green_min,0.925758123754122,1995
41,wefi_median_wet,0.9226007145328482,1995
42,red_min,0.917006453199844,1995
43,gcvi_median,0.9163786444121302,1995
44,evi2_median_wet,0.9133587354698364,1995
45,savi_median_dry,0.9065788462048922,1995
46,nir_min,0.8998950405199869,1995
47,cloud_max,0.8982154601120532,1995
48,swir2_median_dry,0.8960837101434644,1995
49,npv_median,0.8950954396244964,1995
50,hallcover_median,0.8937865495034579,1995
51,swir1_stdDev,0.8934361302952047,1995
52,shade_min,0.8864599443209729,1995
53,sefi_stdDev,0.8762602487912818,1995
54,ndvi_amp,0.8702102160505517,1995
55,shade_median_dry,0.866846212689614,1995
56,nir_median_wet,0.8646403683786725,1995
57,evi2_stdDev,0.8637166559473596,1995
58,ndwi_amp,0.8629983398908905,1995
59,nir_median,0.8625828608475998,1995
60,ndwi_stdDev,0.8603321672555655,1995
61,nir_median_dry,0.8598922146306428,1995
62,soil_median,0.8574163408664217,1995
63,shade_median_wet,0.8565282108806325,1995
64,sefi_median_dry,0.8540377107158507,1995
65,red_median_wet,0.851620207227951,1995
66,swir2_median_wet,0.8476311597032297,1995
67,npv_max,0.8349777901589216,1995
68,shade_amp,0.8327251205584579,1995
69,gcvi_stdDev,0.8325304688281051,1995
70,cloud_median,0.8295076210029804,1995
71,ndvi_median_wet,0.8260576707912891,1995
