band,importance_median,importance_std
cloud_median,2.003826926646186,0.3924582862035915
red_median,1.8672586396544115,0.2976830300889773
green_median,1.71020887368303,0.5433027242404619
gcvi_median,1.5535718219602808,0.33216633192582623
blue_median,1.5432281936008612,0.48283051490180084
gcvi_median_dry,1.5005158672940162,0.41636007353444154
cloud_min,1.4564181040468502,0.3488546460509755
swir1_median_wet,1.417430161572331,0.2802182956508504
swir1_median,1.3436008863620157,0.3294891131403276
gcvi_median_wet,1.3320975372469173,0.28368146621289847
cloud_median_wet,1.307955110600272,0.4339671916699715
ndwi_median_dry,1.2549121837041326,0.470895193604303
ndvi_median,1.2509611441090125,0.34270923977247575
green_median_dry,1.2304736379750394,0.33319383431567745
green_median_wet,1.224661190126409,0.27973447626132536
swir1_median_dry,1.2156599858103705,0.3587453366344693
swir2_median_dry,1.193531524097829,0.2993028314182831
red_median_dry,1.169915276162603,0.2743924966149351
ndwi_median,1.1589432560587032,0.40940884369245356
red_median_wet,1.1432485257885538,0.20425105838888544
slope,1.1429817094637993,0.29807883333801566
nir_median,1.1391343921634782,0.3455189645903634
blue_median_dry,1.118154406184982,0.20060606818783927
nir_min,1.1176718576114886,0.29928425565285766
blue_median_wet,1.0622131961051469,0.30148090753884876
nir_median_dry,1.057067156111818,0.38889101190702763
green_min,1.0518288038675832,0.3909330249982513
red_min,1.0476339919457585,0.20126363433986344
npv_median,1.0420501959348965,0.23289268489030765
swir2_median,1.028598034620226,0.32288662758704473
shade_median,1.022517678541646,0.33081940530124343
shade_median_wet,1.0070929446332852,0.1970742391598217
cloud_median_dry,1.001782991369756,0.24363821739923697
hallcover_median,0.9996912784883106,0.29794252557078177
ndvi_median_wet,0.9868942508407754,0.33758378734311173
npv_median_wet,0.9753176598695514,0.24936797357295631
soil_median_dry,0.970922584636684,0.2652211691493693
gcvi_stdDev,0.9489949060267422,0.24737033983038606
swir1_min,0.9434068119684944,0.3610794262557802
shade_max,0.9401663223357892,0.2169171009195341
soil_max,0.928981030031926,0.32034775248037506
shade_min,0.9195094737260804,0.38901894584609836
cai_median,0.9158477220285256,0.26580353719843025
ndvi_median_dry,0.9128103111684333,0.31050954331503394
shade_median_dry,0.9064930689232396,0.25088107092043743
pri_median_dry,0.9048451437576376,0.39004795319885727
ndwi_stdDev,0.8809901000439848,0.2555243881898544
gvs_amp,0.8651463155943102,0.30098543090809327
ndwi_amp,0.8646253873356461,0.22987774414551024
swir2_median_wet,0.8583320443710937,0.2243657115353733
red_stdDev,0.8504933244644544,0.31297110028813807
soil_median,0.8476427412528724,0.2538338404684707
evi2_median_dry,0.8257975701523066,0.24651777995167004
evi2_median_wet,0.8104980943497588,0.2490805238638579
soil_stdDev,0.8103298339468147,0.2694647273787455
pri_median,0.7980405731841257,0.3420543777649611
soil_amp,0.7975364135086809,0.2597791404613025
swir1_stdDev,0.7937869311403256,0.2747334363533189
sefi_median_dry,0.7900658781855131,0.21022688840082054
sefi_stdDev,0.7715881897996644,0.2355179476318615
sefi_median,0.7589224057465473,0.19086136875372875
nir_median_wet,0.7588197597165453,0.2517987664663028
savi_median_dry,0.740372069258585,0.43309076129208196
blue_min,0.7301031134034995,0.3789960369999353
npv_min,0.7168242516214783,0.37210906739174887
cloud_max,0.716406892393876,0.20913978839237196
gvs_stdDev,0.7116452533837959,0.18779596049933003
gvs_max,0.7104427934522506,0.21956128586503262
gv_amp,0.6983875907111325,0.17951834068254263
savi_median_wet,0.6964260437676832,0.1389487132251506
green_median_texture,0.6915019588921287,0.3988007760654723
cai_median_dry,0.6842404017289929,0.28194488321781425
evi2_median,0.6837177248698528,0.2612181989394136
ndfi_max,0.6763246822638814,0.17879416593605277
swir2_min,0.6656228218926178,0.14788367060480753
savi_median,0.6561858171958079,0.25796685921781376
gvs_median,0.6547848395212554,0.1722180658851522
ndfi_amp,0.6265364467330795,0.17264364857563122
npv_max,0.6264324525128826,0.23134625103311401
swir2_stdDev,0.6247566529461035,0.21594071134559767
ndvi_amp,0.6203575167711197,0.1704309987361559
blue_stdDev,0.6195940868941074,0.27239469318521237
ndfi_median,0.6172137659177317,0.193004476506017
