band,importance_median,importance_std
slope,1.7716618001364344,0.30971067931693125
ndvi_median_dry,1.4229811318009498,0.20784920860526795
swir2_median_dry,1.3121641520210416,0.19991909918345263
red_median_wet,1.3108062195966723,0.20972114798526256
nir_median,1.2922272329839979,0.13122509906670626
blue_median,1.2685744089284747,0.14800857457116876
green_min,1.2638344451833639,0.22718477366875162
gcvi_median,1.2547825355236644,0.2960064077305802
green_median_dry,1.2474115220402395,0.2044615899372101
green_median_wet,1.2308731799513675,0.2354769256931547
green_median_texture,1.229902224686961,0.17768711541943966
ndvi_median,1.2023150978027544,0.22741666919885906
gcvi_median_dry,1.1951100002505592,0.25523444683416807
pri_median,1.1923205401340542,0.1659217747498119
green_median,1.1873438581890272,0.24240383758800235
swir1_median_dry,1.1741313436584366,0.26214754855188727
cai_median_dry,1.1383037644350904,0.16662780360800578
blue_median_dry,1.1382032830591142,0.2121031981903265
swir2_min,1.1328161361095739,0.1441043017595776
red_median_dry,1.1302913537318386,0.12340096281648022
gcvi_median_wet,1.1261909879176495,0.20580392994453148
blue_min,1.1026782171137737,0.3244080328632234
swir1_min,1.0940131260356938,0.09061984087228296
red_median,1.0939367772518351,0.23140277364436085
ndvi_median_wet,1.071789759512794,0.14191105343710222
swir1_median,1.0628308058101625,0.07358195770605551
ndwi_median_dry,1.048385477608894,0.17191511216549996
blue_median_wet,1.0376558956919992,0.22578927716733735
npv_median,1.022364062365838,0.2936898916971741
red_min,1.0211059620481273,0.15163714213823248
savi_median_dry,0.9929401406928835,0.06855180788321705
cloud_median,0.9893840632958137,0.14758133198890364
pri_median_dry,0.972075723214884,0.19456096489760122
savi_median,0.9674645949282052,0.0641168057712085
hallcover_median,0.963753173390633,0.1206970511858137
nir_min,0.960976084847053,0.20020677389354594
swir2_stdDev,0.949543173771259,0.21180957997237634
shade_max,0.9491399608581155,0.11231325926431504
evi2_median,0.9479504808233643,0.1717850204056044
gcvi_stdDev,0.947917123856747,0.21777718591463652
swir2_median,0.9362638425003316,0.09104513579190371
shade_median,0.9351673232649299,0.18019468554231036
ndwi_amp,0.9314609697563727,0.16457538654124862
cai_median,0.9291244801817264,0.21389734671969038
nir_median_dry,0.9139509240738977,0.09771242810628036
evi2_median_dry,0.9115186340267314,0.20417062603852726
swir1_stdDev,0.9009595114352733,0.15024137282142172
shade_median_dry,0.899232786699049,0.15933973123819295
ndwi_median,0.8921237113480929,0.14928798972277282
cloud_max,0.8919872643734983,0.2451127057631674
cloud_median_wet,0.8390368788060323,0.0761696634977657
ndvi_amp,0.8309889311021312,0.15101218095441996
swir1_median_wet,0.8295228313306418,0.11145648747185025
gvs_max,0.824416735289071,0.12372103813193674
hallcover_stdDev,0.8234723748952872,0.14295263478782003
ndwi_stdDev,0.8132918682781318,0.07019604348793511
evi2_amp,0.8115949116172346,0.04991315382913782
sefi_median,0.8088411560383895,0.17050022800856443
cloud_median_dry,0.7976756013038508,0.13983837903169483
blue_stdDev,0.7775726067235851,0.11245298795870573
red_stdDev,0.7735932600578657,0.14328830766214434
soil_amp,0.7729470425935219,0.11243175774600712
ndvi_stdDev,0.7679070188880756,0.19647125118815184
sefi_stdDev,0.7645673580276727,0.127602950758896
evi2_median_wet,0.7489548593498606,0.038952471479182744
cloud_min,0.743886006892697,0.24670937237866603
ndwi_median_wet,0.7429058899310446,0.10295970747447332
shade_min,0.7402554606166598,0.12585697186552455
soil_max,0.7342192159785483,0.14820272857338423
ndfi_max,0.7339851387487809,0.20680275253071073
savi_median_wet,0.732224417929506,0.08292049969958615
shade_amp,0.7257930143677689,0.2212194121108621
swir2_median_wet,0.7240209152567926,0.0556534586782591
nir_stdDev,0.7214527950013736,0.12725476504096137
nir_median_wet,0.7188004227595853,0.17665007453396545
shade_median_wet,0.7186841721411328,0.07232156662827283
green_stdDev,0.7112079292387583,0.15247808453143555
sefi_median_dry,0.7105138834811124,0.2074536383597487
wefi_median,0.6978923546453146,0.1811841812237966
npv_median_dry,0.6957437131461296,0.14688890881479752
ndfi_median,0.6858924681794598,0.05870677874608039
evi2_stdDev,0.6853825987156776,0.160679242378916
npv_min,0.6851597013487644,0.16121150057386785
gvs_amp,0.6782691808956288,0.1101512684044828
soil_median_dry,0.6640436080332104,0.09378470604540767
ndfi_stdDev,0.6610267247988348,0.12066394552768425
gv_max,0.6572735575716022,0.23688159356278185
cai_stdDev,0.6553493983240385,0.10440515913130331
cloud_amp,0.6497670811962843,0.2147919628438145
gvs_median_wet,0.6483080912986052,0.19533902189671493
gv_amp,0.6466859470436878,0.12169498342998543
pri_median_wet,0.6386258169042751,0.06504192593668237
ndfi_median_wet,0.6345335730914851,0.1110540988574534
gv_median_wet,0.6306407354327626,0.04347290230186779
savi_stdDev,0.6271830176444293,0.1467003198773509
npv_max,0.6259989423470249,0.10883423333128142
ndfi_amp,0.6194827885579687,0.1212982548488181
npv_median_wet,0.615737440980917,0.2629634643775586
ndfi_median_dry,0.6037927618314238,0.056368465573064144
gvs_median,0.6029983172212606,0.11667539393467909
gvs_stdDev,0.5991516914311581,0.043605237002248574
ndfi_min,0.5825343188606027,0.05736328563624466
soil_stdDev,0.5786165439271229,0.10385765391672784
soil_median,0.5778118720922671,0.1476527116163867
wefi_amp,0.5572861510430258,0.08063058226162471
gvs_median_dry,0.550854979508846,0.13473656060855999
soil_min,0.5436723639653476,0.063162523200033
gv_median,0.5357220505332004,0.17061780048403458
gvs_min,0.5195106979303251,0.15057396185120628
wefi_stdDev,0.5091878079269183,0.08098817527137982
npv_amp,0.4621861139037707,0.16405852329585904
wefi_median_wet,0.4531114736917745,0.14801031560528258
shade_stdDev,0.4477256634901362,0.1957041357050316
soil_median_wet,0.4354312192201826,0.05858089031022147
gv_median_dry,0.41740426493274774,0.023542490415105987
gv_stdDev,0.395074474788742,0.09186787716777745
gv_min,0.3909309982642483,0.17886155845726168
cloud_stdDev,0.24609711914129395,0.1013605920248472
npv_stdDev,0.20312254550017989,0.06540193677753618
