band,importance_median,importance_std
slope,2.596377224289574,0.5556272896031957
gcvi_median,1.781440963845858,0.31939226664807685
ndvi_median,1.612152729412979,0.5399857048722142
blue_median,1.5389436912441774,0.34431000989227356
ndvi_median_dry,1.4291410906050583,0.331866344500181
red_median,1.3458658524368572,0.22222394415661495
gcvi_median_dry,1.27341118823858,0.3872428259175006
gcvi_median_wet,1.2658831410549918,0.3375199112362322
green_median,1.2285173360550143,0.15923737230565746
green_min,1.2144436543602013,0.5882665685330858
savi_median,1.2110005399625887,0.2594511455940327
ndwi_stdDev,1.1638447125596938,0.2628775814309066
hallcover_median,1.1127834681616504,0.19006784278709943
blue_median_wet,1.1017303505885585,0.2890429373692942
ndwi_median,1.0967273757351157,0.22511604351957298
nir_min,1.082749439086224,0.5407054773527079
ndvi_median_wet,1.0796341167578642,0.3668134946414712
evi2_median,1.0769873446071276,0.3352006627736242
red_median_wet,1.0759410124270092,0.27913381008003596
swir2_median_dry,1.0394819646865086,0.23142714359864056
green_median_wet,1.0393811188267998,0.309320375779434
savi_median_wet,1.0355135234041837,0.38315136370638314
pri_median,1.0322572006888353,0.3176559573033447
pri_median_dry,1.0282550143493214,0.28401484562026874
green_median_dry,1.025436217553624,0.3029001126564055
ndwi_median_wet,1.0223479226534302,0.25401050074830306
blue_min,1.0182730178228374,0.6223202160814278
savi_median_dry,1.0035545859674109,0.3553453304818666
evi2_median_dry,0.9965406769023512,0.24664215704415166
nir_median,0.995062168307596,0.28703877099293734
blue_median_dry,0.9926804484207182,0.321647357127206
red_min,0.984742535815,0.603866807005719
swir1_median_wet,0.9794150770499797,0.253089413333174
cloud_median,0.9793439220476242,0.3009047886251907
swir2_median,0.9738246772886122,0.22626952492869254
ndwi_median_dry,0.9607516326824852,0.3626366135604184
nir_median_dry,0.9568017135161894,0.2630675517198238
cloud_min,0.952910604622793,0.35853485901158477
blue_stdDev,0.9432896063876436,0.27824240842128495
green_median_texture,0.937533451336499,0.2613262920754322
evi2_amp,0.9142689445180682,0.266886685267374
ndvi_stdDev,0.9110967715398534,0.32071280136718805
ndwi_amp,0.9083819695919362,0.27016614003657163
red_median_dry,0.9081615972222784,0.27198950727150584
sefi_stdDev,0.9037381296337448,0.35418402027483936
cai_stdDev,0.8946960165198834,0.33929339273913456
hallcover_stdDev,0.8910573764700636,0.1877945774681517
nir_median_wet,0.8738058247322433,0.17447230659008517
cloud_median_wet,0.8711581938294759,0.279875191239858
gcvi_stdDev,0.8658064491802422,0.27529147012375965
ndfi_median_dry,0.8615708845504624,0.24678507038302872
red_stdDev,0.8573814398681194,0.42732879559487363
soil_max,0.8552790352751102,0.19618294641756537
evi2_median_wet,0.8516904682993653,0.2882414345523232
swir2_median_wet,0.8376989015357503,0.25439756633495014
green_stdDev,0.8336481033493462,0.3406499576309864
cai_median,0.8262036468742637,0.29609885146979475
cloud_amp,0.8252651321611765,0.25063716602461883
pri_median_wet,0.8152535586783557,0.25234774821870454
nir_stdDev,0.8112523400090884,0.2770233076322001
ndvi_amp,0.8104047501842855,0.3190778897847627
evi2_stdDev,0.7970094123334424,0.21958303319659553
ndfi_median,0.7802715077820441,0.3379585884819673
swir1_median,0.7748984850052489,0.2687555164608205
cloud_max,0.753130785158784,0.24570547990672137
swir1_min,0.7480214712882667,0.33155136126364015
swir2_stdDev,0.7438964295044416,0.35152992959358065
swir2_min,0.7382864007029006,0.33659601605588435
soil_amp,0.7365898706663766,0.2813549454102602
savi_stdDev,0.7348287537789079,0.28411998528784194
gvs_amp,0.7331073052875533,0.33293975140570725
gvs_median,0.7259713640905917,0.23501146483906973
ndfi_median_wet,0.7247903958043093,0.2795419342327116
swir1_median_dry,0.7234554493278611,0.3207403798820879
gv_max,0.7083292660050374,0.15303984009076807
swir1_stdDev,0.7081451689314048,0.2308124084652393
gvs_median_wet,0.6974055722052794,0.36989047077340637
ndfi_amp,0.688353302195068,0.31331285146825555
cai_median_dry,0.6829766300012482,0.23170492194499895
gvs_stdDev,0.6814261040970432,0.25403065829462235
soil_median_wet,0.6809562739347541,0.21887738646691862
sefi_median_dry,0.6805501434412693,0.319562802343246
shade_median_wet,0.6667218020100232,0.2641029995318808
ndfi_stdDev,0.6547252112647721,0.2092657876970079
shade_median_dry,0.6339184982151941,0.21641969940341566
shade_max,0.6267334196183849,0.2283119299041616
sefi_median,0.6204375071188748,0.24969350376549193
cloud_median_dry,0.6025625802200818,0.17563070245355147
cloud_stdDev,0.6006071073742044,0.32195883671867204
gv_amp,0.5998524472871766,0.2168525462810254
gvs_median_dry,0.5791402812950469,0.2485358098555934
wefi_amp,0.5636356369517035,0.23239710347424905
ndfi_max,0.5626451944200128,0.23100307720605076
shade_amp,0.5616664104687534,0.17512376469809388
npv_max,0.5486704772307459,0.27462784065360296
