band,importance_median,importance_std
slope,2.1723444845655133,0.5817904892965428
pri_median,1.8935956269464576,0.2614707436406438
pri_median_dry,1.6458048046701967,0.2766951028262046
npv_median,1.508502591939079,0.2523473132355818
blue_median,1.5081541703005703,0.27863063290507917
cai_median_dry,1.4700590375230094,0.28549472185078684
npv_median_wet,1.4287665131305658,0.3966295567085864
green_median,1.3752893766072976,0.3915449239642269
green_median_wet,1.2816378222001743,0.15362820030916358
cloud_median,1.2811708065277203,0.2733927733906324
npv_min,1.2512428376316234,0.3167016240543442
ndvi_median_dry,1.249337246268216,0.2637401521815913
blue_min,1.2415686275401503,0.45126747019268326
red_median_wet,1.239159948629006,0.21271226873745597
gcvi_median_dry,1.230011906164465,0.3203604661372472
red_median,1.203900964104356,0.22565452961527266
blue_median_dry,1.1745197157636709,0.3007797923099897
npv_median_dry,1.1737101288854763,0.21678546402741428
green_min,1.15135380656676,0.2310094012136531
green_median_dry,1.1340742497939325,0.23460278706502927
cai_median,1.105244708696738,0.31113796810048583
ndwi_median_wet,1.1036674221773477,0.23102192389268114
red_min,1.1024689920517627,0.1676119595222373
red_median_dry,1.096325665526254,0.23286541286677115
blue_median_wet,1.0729382749736598,0.2673776628352771
gcvi_median,1.0684260283122138,0.2074822807198194
pri_median_wet,1.0617588235463211,0.22855104576755708
ndvi_median,1.0606489707166509,0.33648021211397755
savi_median_dry,1.0449011390834988,0.2322616139460385
swir1_min,1.034444768796785,0.21004034329359703
gcvi_median_wet,1.0132586232888583,0.21293957544158928
gcvi_stdDev,1.00723090003569,0.20303803477725138
savi_median,0.9917460928452452,0.2266009345718821
green_median_texture,0.979195217619901,0.27947234774036067
cloud_median_wet,0.9483669628007404,0.22646199317770738
nir_median,0.9272978506187431,0.2598357323532938
ndwi_median,0.927066242479835,0.3690997023122625
nir_min,0.9164601975304724,0.21376065519265253
savi_median_wet,0.9098438196487936,0.21335406206720892
cloud_max,0.9024735097463936,0.24987458717281938
ndwi_median_dry,0.8936814916533458,0.33358002945603016
sefi_stdDev,0.8902723244238624,0.24744271727873593
swir1_median,0.8830731410047761,0.20004589954659957
sefi_median_dry,0.8788029986005563,0.19153493498193097
ndvi_median_wet,0.8766459042781364,0.24757360223169528
cai_stdDev,0.8706873415046237,0.17144447284969042
nir_median_dry,0.8706637154409551,0.16684547902484181
evi2_median,0.8621867479952358,0.19505632094656042
evi2_median_dry,0.8620742030771829,0.14114720687662324
swir2_median_dry,0.8602297999405188,0.23581590753847392
nir_median_wet,0.8583698150674652,0.20412362219109526
nir_stdDev,0.8576013876260256,0.2866333940820179
green_stdDev,0.8534921802715959,0.20160425470674417
red_stdDev,0.8381793427512824,0.17360616499819115
ndwi_stdDev,0.8349195677548087,0.2101549372483414
swir1_median_wet,0.8330084756382505,0.2929247893995345
npv_max,0.80924821957375,0.2554608516164262
evi2_median_wet,0.7916157489843159,0.2429360334844939
cloud_median_dry,0.784656574996715,0.24711170434378724
sefi_median,0.7818208317776588,0.12896289027476826
swir1_stdDev,0.7811955083144962,0.2287396486446209
cloud_min,0.7766370310501923,0.210551606449258
swir2_median,0.7743803230454377,0.10909079572832774
ndvi_stdDev,0.7695091969729234,0.1636932354114655
swir2_median_wet,0.75553789618889,0.1736215052841438
blue_stdDev,0.7538349648443136,0.2067811973405389
swir2_min,0.7531427804389524,0.3090475651286388
hallcover_median,0.7310619593286733,0.21856917342691667
wefi_median,0.72244517505442,0.11088248999414763
ndvi_amp,0.7083740577012453,0.16350154666583538
evi2_amp,0.7046159705150573,0.1684756380584737
evi2_stdDev,0.7006366928500262,0.18111448583556974
