band,importance_median,importance_std
slope,2.8369339331373995,0.521362633135343
green_median_texture,1.614938240101819,0.48465760587762863
gcvi_median,1.575636869748373,0.7431197059528983
blue_median,1.4458545121430508,0.311243340813721
red_median_wet,1.3860317526554178,0.2641975621791875
gcvi_median_dry,1.338484862636444,0.23049004121784245
cai_median_dry,1.3376786180542752,0.15916637079032736
ndvi_median_wet,1.3109051677644004,0.21035618998574862
swir1_median_wet,1.2859068673424527,0.22283180102245834
green_median_wet,1.2512890180101097,0.5056262748547927
green_median,1.2193132263807622,0.1324174801164369
savi_median_wet,1.2141694596898946,0.4560981869291268
ndvi_median_dry,1.2039686658054205,0.24989365706875902
red_median,1.1985949121529482,0.23053178463158247
nir_median_wet,1.1422033166664436,0.23704684885203886
swir1_min,1.1407569365348489,0.30743735416673407
ndwi_median,1.124099124388547,0.4704334553323622
gcvi_median_wet,1.109744591451957,0.426425017077131
cai_median,1.106773673682548,0.24994842035543116
red_median_dry,1.0870698515609716,0.43957038104373203
nir_median,1.070018157290243,0.12771827130358382
ndvi_median,1.067382578600172,0.1396751192559158
pri_median,1.0627483428802504,0.48654456856784334
green_median_dry,1.054327749294808,0.25024524574397655
gvs_amp,1.051773191148985,0.17230849232435802
evi2_median_dry,1.003853776939843,0.08435119232839434
evi2_median_wet,0.9917838872337139,0.10369295808238148
sefi_median_dry,0.9896342444156287,0.2515919733476459
shade_max,0.9875748954515713,0.22001325385259304
green_min,0.9847995297066885,0.23627512361796654
shade_median,0.9738976686649479,0.2656610267378262
nir_min,0.9626052939523901,0.2570300764774744
swir2_min,0.9510083217973964,0.11976533940309896
swir1_median,0.9477859629391788,0.25810416928964103
nir_median_dry,0.9466942458341843,0.22506253203014762
hallcover_median,0.9432645526633714,0.2582215549824953
pri_median_wet,0.9429221502298881,0.3925595000044647
savi_median_dry,0.9412457958073763,0.08338871309781595
ndwi_median_dry,0.937031258721708,0.23488657040340805
soil_max,0.9352601408735661,0.2610541926557902
swir2_median_wet,0.9330624216471575,0.3718145889372515
sefi_median,0.9094805487402532,0.21478778269651608
gcvi_stdDev,0.90235323992557,0.47156412156570654
npv_median_dry,0.8980103669726528,0.30196639198148384
wefi_median_wet,0.8966561208359016,0.2877829532589733
shade_median_dry,0.8798051149726063,0.06349110517575565
ndvi_stdDev,0.8757833559388382,0.3027849204426306
blue_median_dry,0.8687571262850342,0.3325931091295871
swir2_median_dry,0.8646613695416683,0.1080372434480549
savi_median,0.8506632152427348,0.25736445807003594
pri_median_dry,0.8469301366800728,0.5071912684734213
swir2_median,0.8401089793137113,0.3143176012110685
red_stdDev,0.839591065530763,0.3285695169799654
ndfi_median_wet,0.8356749071200289,0.4188427854646171
ndfi_max,0.8341969565705866,0.29725123283968086
blue_min,0.8326766890576043,0.25557639708673385
wefi_median,0.8281685778834993,0.22306353410410845
blue_median_wet,0.8261840645400436,0.17995654834836247
shade_amp,0.8237262508963402,0.27068754079463747
ndfi_amp,0.8142368636313152,0.23948332643135525
wefi_amp,0.8049278222071247,0.2232398428492632
swir1_median_dry,0.8046709707030173,0.20499159072650802
gvs_max,0.7976192198698766,0.3421314238588879
ndvi_amp,0.7818914273059081,0.18142196410545225
npv_min,0.7798600246491271,0.3230437796368624
gv_median_wet,0.7717033816689441,0.13150443696654068
ndfi_median,0.7708621400279578,0.16118641946790208
red_min,0.7699568670438998,0.40498501463451425
soil_median,0.751728385746423,0.3596941128363414
swir1_stdDev,0.7507247053680126,0.24264629473061566
hallcover_stdDev,0.7431692964360377,0.29166191915554873
soil_median_dry,0.722644564808619,0.24961189581561186
gvs_median_wet,0.7069671394638867,0.10699679254347558
gvs_stdDev,0.7012621648753977,0.12555723619750322
evi2_stdDev,0.6980167859122908,0.2853755684619535
ndwi_median_wet,0.697838402074078,0.17385845435710898
npv_median,0.6858012670297804,0.3777802859090878
gv_max,0.6856008613778519,0.310387317794312
gvs_median_dry,0.6814549067650248,0.1779264170989538
swir2_stdDev,0.6811486916547714,0.11808958988631062
cloud_max,0.6781864942676288,0.11591375842071541
ndwi_amp,0.6668371504135359,0.1929420386872321
ndfi_median_dry,0.6648854850626046,0.36653450957202055
shade_stdDev,0.6565167694800167,0.15575039790162565
sefi_stdDev,0.6516714666783482,0.18937055375435663
savi_stdDev,0.6512839674261022,0.27030007175604687
gvs_median,0.6499715238427317,0.08826171703790618
wefi_stdDev,0.6488770383165458,0.1703494225593068
ndfi_stdDev,0.6455024742012863,0.20152024196221702
cloud_amp,0.6256621443138372,0.3720379617584449
cloud_median,0.6148788007368333,0.19181041331596477
nir_stdDev,0.6074905787600711,0.23803552034604264
evi2_median,0.6032931439321023,0.21841576576440444
gvs_min,0.5965052546170937,0.146469267791864
cai_stdDev,0.5962418032656923,0.38386792321399643
ndfi_min,0.5784549922157425,0.19702764815819065
cloud_median_dry,0.5713282381403679,0.13570393854229934
shade_median_wet,0.5703979405435708,0.4860700001231876
green_stdDev,0.5581423279232358,0.11424389580258873
gv_stdDev,0.5577810394737729,0.3423176788990184
ndwi_stdDev,0.5495078838426433,0.15329701873312496
soil_min,0.5449380107561049,0.13531437139439212
soil_median_wet,0.5400350285385693,0.19768107774049848
shade_min,0.520270143194432,0.1668112285673122
gv_amp,0.5089753426690591,0.36985475095289433
npv_max,0.49694967237616355,0.1614181657744664
cloud_median_wet,0.4799101866563368,0.09273797276203366
blue_stdDev,0.4703431082779048,0.12122210821615051
soil_amp,0.4675646590131466,0.21771311553584177
gv_median,0.4577339297927546,0.13929946493337186
evi2_amp,0.44998934679867486,0.24280743798681484
soil_stdDev,0.4354165392601995,0.19768567166105053
npv_median_wet,0.3990255649120851,0.44185305363702027
gv_min,0.3671585316455064,0.13021749866036172
cloud_min,0.3322144325987464,0.12435556956899563
npv_amp,0.28577385256318105,0.09343050616903513
gv_median_dry,0.2677332514037146,0.254463810852371
cloud_stdDev,0.14834596303266456,0.18939212734181088
npv_stdDev,0.1383166150322918,0.08018149456800418
