band,importance_median,importance_std
slope,1.6941668191033898,0.11861580898806391
cloud_median,1.659554758758199,0.2670327170049915
green_median_texture,1.6413680454845316,0.48416663739596966
blue_median,1.583740831256371,0.32751877844122584
gcvi_median,1.5817356408642547,0.6106199762975346
ndwi_stdDev,1.5765382998530764,0.4375626975808646
nir_median,1.493123928593059,0.22706675440836765
red_median,1.446972539676675,0.14577190501103782
green_median,1.3633838888900123,0.4919292422293307
ndwi_median,1.3196630139229382,0.19649211585590637
swir2_stdDev,1.3059781087901678,0.16747402414516324
nir_min,1.291491406544222,0.42641013497464914
gcvi_median_wet,1.290530838573974,0.15786340089155554
ndwi_amp,1.2671208016993605,0.24585266299398006
swir1_median_dry,1.2193009632298983,0.3681554048940125
cloud_median_wet,1.1850003591150977,0.15439373172146587
red_min,1.184651566011044,0.4251073080187368
ndwi_median_dry,1.1612647505415934,0.16757223254851936
hallcover_median,1.1578475487314832,0.17201121383731238
ndvi_median,1.1575033625076605,0.2314370015866169
swir1_median_wet,1.1570122441150845,0.36445839354020143
nir_median_dry,1.1377391307992464,0.33723289576464094
pri_median,1.1324970723639058,0.4174275539406993
swir1_stdDev,1.1108291734861397,0.2083482313158912
nir_median_wet,1.0950749662031756,0.38094747668161927
swir2_median,1.0616528683271338,0.26205477585662035
swir1_median,1.0525975451129148,0.08904431011943278
ndvi_median_wet,1.034222959848647,0.37379955237726525
swir2_min,1.0179982296371501,0.29806125407578654
green_min,1.0163015872964574,0.10516159097252158
red_median_dry,0.9962527012557463,0.32787212121063786
ndwi_median_wet,0.9890630209819744,0.3910172853801622
swir1_min,0.9812988461070811,0.39531681926082013
soil_max,0.9707021506845894,0.5647106082073619
ndvi_median_dry,0.9548552503596996,0.0717710513483464
sefi_stdDev,0.9526211315418246,0.30467160899286816
cloud_median_dry,0.938240084186469,0.27238806273349264
red_median_wet,0.925116220384341,0.2605080247968323
cloud_min,0.9016522633962396,0.42231609362906974
hallcover_stdDev,0.8948937430952166,0.1435061328455083
evi2_median_wet,0.8941593505546381,0.22753379067372212
blue_min,0.8772486246079518,0.20904071279665157
blue_median_dry,0.8758758815171584,0.13728311645582073
green_median_dry,0.8754110088278411,0.06539905050854233
shade_median,0.8695177075610117,0.2939084874213918
savi_stdDev,0.8617137512686166,0.3514846957929103
green_median_wet,0.8614574498858298,0.08356834672592114
savi_median_wet,0.853184294134465,0.3253263139545919
cai_stdDev,0.848753170377457,0.17252573185843556
ndvi_stdDev,0.8487070569059441,0.3937350789596529
nir_stdDev,0.8466844874979648,0.1988180572223555
swir2_median_wet,0.8450923881983887,0.11915525911552076
ndfi_median,0.8442627644915485,0.23861107281141808
savi_median,0.8182193905582845,0.40634839197973166
gvs_stdDev,0.8173637528078775,0.2801505742519783
sefi_median_dry,0.8147682249591768,0.363591759223271
gvs_amp,0.8039469359941127,0.29135011205804806
evi2_stdDev,0.7991242190017503,0.08936276930818132
evi2_median_dry,0.797349239806,0.22902568429974923
savi_median_dry,0.7949643022696192,0.15874528047937556
gcvi_median_dry,0.7884660280772864,0.18266192902390246
swir2_median_dry,0.7884198109891438,0.106735811008875
pri_median_dry,0.7787452963509794,0.09461913180112616
cai_median_dry,0.7562033164691231,0.31567150257079085
red_stdDev,0.74896527694116,0.10941702336922096
ndvi_amp,0.7327955069519222,0.23808583728493493
gvs_median_wet,0.7193680164456874,0.21977504353661942
shade_max,0.714953480564138,0.3320140774555088
blue_median_wet,0.713959395016867,0.18097938419940496
gv_max,0.7052622170017959,0.20502750564366468
gv_stdDev,0.7021253757797737,0.16582230423360722
soil_stdDev,0.6994106976068376,0.18225958561448613
shade_amp,0.6931791884744862,0.10271958465985283
evi2_amp,0.6906996220316187,0.25507873105155177
soil_median,0.679100399420685,0.16733907156018646
gvs_max,0.6777512861462986,0.2333494571267439
cai_median,0.6753452328000624,0.1953331425374172
gv_median,0.6668552170335615,0.12588156697650013
evi2_median,0.6514516247082147,0.20053344121798058
soil_amp,0.6500150263946931,0.11336803477483362
shade_median_dry,0.648291998096264,0.2667828115844595
ndfi_stdDev,0.6445176142556714,0.021942640082781805
gcvi_stdDev,0.6353839098683796,0.20190144342535696
gvs_median_dry,0.6311536138194258,0.19359484303944235
ndfi_min,0.6204115739184224,0.18344692968053164
wefi_median_wet,0.6136028689881659,0.26181948668498856
npv_median,0.6122244280511658,0.0790248023731024
gvs_median,0.599154578385759,0.10912072934858823
wefi_amp,0.597816959914909,0.051350684851963785
soil_median_dry,0.5956598618125379,0.3482382394655922
green_stdDev,0.5948136140015167,0.11852118899606953
gv_median_wet,0.5919259865295127,0.17151952827146416
shade_min,0.5848020659496678,0.23034873504061784
shade_median_wet,0.5751370150053271,0.1329887803987627
cloud_max,0.5750930433647864,0.3608282972690584
ndfi_median_wet,0.5642516275673379,0.12379538271993332
gv_amp,0.5545902656107192,0.11006486725496965
blue_stdDev,0.5498363714405312,0.319866961467268
ndfi_amp,0.5452873609106849,0.07584302813051698
ndfi_max,0.5396116823913004,0.10801913705329173
gvs_min,0.521048625797768,0.3205019818449586
ndfi_median_dry,0.5046283324211657,0.08314948953505874
wefi_median,0.4929162130235094,0.2295843371619216
shade_stdDev,0.48528594350429594,0.2018220901585685
gv_min,0.48409508259059514,0.2571169469474097
npv_median_wet,0.47583028223117385,0.11469915016467735
npv_amp,0.4742366912535543,0.10663738755278414
sefi_median,0.43445367518544054,0.22350889449969047
npv_min,0.4325685295059481,0.3352099235670483
gv_median_dry,0.4206876416433575,0.21271931756585435
npv_median_dry,0.403407496167527,0.2561347370627051
pri_median_wet,0.385632320957084,0.32459216937738283
wefi_stdDev,0.3547222400713971,0.2718407018555885
soil_median_wet,0.310273333668302,0.060289940050825046
npv_max,0.2993319072902386,0.15247891456452958
npv_stdDev,0.2839067597373574,0.12656379326377046
cloud_amp,0.2757274931924809,0.10087838103801007
cloud_stdDev,0.22786242234430232,0.15648297872756772
soil_min,0.15643485592936346,0.09723902377163407
