band,importance,region,year,sample_version
green_median,2.5712535053427246,IGP,2015,5
red_median,2.096596253666055,IGP,2015,5
gcvi_median,1.9989934067220665,IGP,2015,5
cloud_median,1.861163611743625,IGP,2015,5
ndvi_median,1.775782909694662,IGP,2015,5
blue_median,1.7748898026720532,IGP,2015,5
green_median_wet,1.7575209660783895,IGP,2015,5
ndwi_median,1.6005927804592521,IGP,2015,5
gvs_amp,1.5452453337077694,IGP,2015,5
red_median_dry,1.490436311966543,IGP,2015,5
swir1_median_dry,1.4859479176523784,IGP,2015,5
red_median_wet,1.4428725209294693,IGP,2015,5
nir_median,1.376408547973072,IGP,2015,5
swir1_median,1.3436008863620157,IGP,2015,5
swir1_median_wet,1.3326486601908223,IGP,2015,5
shade_median_dry,1.2829345324586834,IGP,2015,5
swir2_median,1.282688983165154,IGP,2015,5
sefi_stdDev,1.2493681259314353,IGP,2015,5
soil_amp,1.2450817011191333,IGP,2015,5
gcvi_median_wet,1.2193608094402606,IGP,2015,5
cloud_median_wet,1.1845234733283336,IGP,2015,5
shade_median,1.1646598220236197,IGP,2015,5
soil_median_dry,1.163286031309571,IGP,2015,5
gcvi_stdDev,1.1423638432315908,IGP,2015,5
nir_min,1.1417049532565773,IGP,2015,5
ndwi_median_dry,1.1403898432043416,IGP,2015,5
ndvi_median_dry,1.1238823605864996,IGP,2015,5
cloud_min,1.0939116756756813,IGP,2015,5
green_median_dry,1.0887075571805085,IGP,2015,5
gvs_stdDev,1.0831048787307518,IGP,2015,5
swir2_median_dry,1.0732399743959855,IGP,2015,5
gcvi_median_dry,1.0648449453149895,IGP,2015,5
cai_median,1.0566362172114625,IGP,2015,5
slope,1.0401244638713631,IGP,2015,5
npv_min,1.0039975257417908,IGP,2015,5
npv_median,0.9940697518902937,IGP,2015,5
nir_median_dry,0.980012908864824,IGP,2015,5
npv_median_wet,0.9753176598695514,IGP,2015,5
blue_median_wet,0.969793073016582,IGP,2015,5
pri_median_dry,0.9602078054849438,IGP,2015,5
hallcover_median,0.9441355892180465,IGP,2015,5
ndwi_amp,0.910316638763905,IGP,2015,5
green_min,0.9075050289004609,IGP,2015,5
red_min,0.9031412102676887,IGP,2015,5
swir2_median_wet,0.8897331770805275,IGP,2015,5
soil_median,0.8869663950287028,IGP,2015,5
npv_max,0.88175676533121,IGP,2015,5
shade_median_wet,0.8649034370216404,IGP,2015,5
ndfi_max,0.8618956445391913,IGP,2015,5
evi2_median,0.8305182904452788,IGP,2015,5
cai_median_dry,0.824243138842083,IGP,2015,5
evi2_median_wet,0.813685269478758,IGP,2015,5
gv_median_wet,0.7975068347832364,IGP,2015,5
gv_median,0.7924674729641057,IGP,2015,5
soil_min,0.7919612085184521,IGP,2015,5
shade_min,0.7910606121556616,IGP,2015,5
ndfi_stdDev,0.7907028027991123,IGP,2015,5
sefi_median_dry,0.7900658781855131,IGP,2015,5
