band,importance,region,year,sample_version
green_min,1.901409569993428,PEN,2010,5
slope,1.8445907191990976,PEN,2010,5
blue_min,1.4810463969621033,PEN,2010,5
green_median_wet,1.4689672919243455,PEN,2010,5
red_median_dry,1.3305902917705101,PEN,2010,5
pri_median,1.309232860378988,PEN,2010,5
blue_median_wet,1.3065560195985526,PEN,2010,5
swir1_stdDev,1.259974575696738,PEN,2010,5
cloud_min,1.2458229891069692,PEN,2010,5
red_min,1.2396016349137886,PEN,2010,5
red_median,1.2283575687825383,PEN,2010,5
ndvi_median_dry,1.2242417110434995,PEN,2010,5
ndvi_amp,1.1820915371989353,PEN,2010,5
npv_median_wet,1.1512175347933151,PEN,2010,5
green_median_dry,1.1445905054662031,PEN,2010,5
gcvi_median_wet,1.1414256294529614,PEN,2010,5
gcvi_median_dry,1.1257603549332156,PEN,2010,5
nir_median,1.1186779749578444,PEN,2010,5
gcvi_median,1.1167092955236018,PEN,2010,5
red_median_wet,1.1063165272859352,PEN,2010,5
ndwi_median_dry,1.1052580613776786,PEN,2010,5
ndvi_median_wet,1.0999537077563561,PEN,2010,5
nir_min,1.0804681584571163,PEN,2010,5
shade_median_dry,1.073402148697615,PEN,2010,5
savi_median_dry,1.0686613172990345,PEN,2010,5
ndwi_median,1.0583081830218908,PEN,2010,5
evi2_median,1.0578617445381184,PEN,2010,5
evi2_median_dry,1.0346664676161696,PEN,2010,5
ndvi_median,1.0335838980047503,PEN,2010,5
pri_median_dry,1.0197520007096257,PEN,2010,5
ndwi_amp,1.0178368412462913,PEN,2010,5
gvs_amp,1.0088178607285574,PEN,2010,5
swir2_median_dry,1.0041250905538928,PEN,2010,5
blue_stdDev,0.9894153953358343,PEN,2010,5
green_median,0.9752660680790547,PEN,2010,5
savi_stdDev,0.9702358680219952,PEN,2010,5
npv_min,0.9552672077630244,PEN,2010,5
swir1_min,0.9515255095212888,PEN,2010,5
green_median_texture,0.9509747418357701,PEN,2010,5
cloud_median,0.9490037783301174,PEN,2010,5
gcvi_stdDev,0.9351455812957871,PEN,2010,5
cloud_median_dry,0.9343724475540238,PEN,2010,5
