band,importance,region,year,sample_version
pri_median,2.169280475388571,DES,2024,7
cai_median_dry,2.1240247953425473,DES,2024,7
green_median,2.1185572599988274,DES,2024,7
pri_median_dry,2.0735834974074963,DES,2024,7
npv_median_wet,1.8412291345605125,DES,2024,7
red_median,1.616247302643782,DES,2024,7
cloud_median,1.609077294531382,DES,2024,7
blue_median,1.5814738175901697,DES,2024,7
ndwi_median_dry,1.5683311103111306,DES,2024,7
blue_median_dry,1.5286049939517314,DES,2024,7
green_median_wet,1.498716819481018,DES,2024,7
swir1_min,1.4830406499737248,DES,2024,7
swir2_min,1.3815009347725564,DES,2024,7
slope,1.3727754481432939,DES,2024,7
npv_median,1.3697015628813318,DES,2024,7
cai_median,1.3467595121018643,DES,2024,7
gcvi_median_wet,1.3060628521559612,DES,2024,7
ndwi_median,1.282900490430312,DES,2024,7
ndwi_median_wet,1.2610734829398988,DES,2024,7
green_median_texture,1.2592486764842146,DES,2024,7
red_median_wet,1.254012695948866,DES,2024,7
swir1_median_wet,1.252255697234136,DES,2024,7
red_median_dry,1.1717855833013773,DES,2024,7
npv_median_dry,1.1497820059484198,DES,2024,7
green_median_dry,1.1486024904722427,DES,2024,7
blue_median_wet,1.137093277563531,DES,2024,7
red_min,1.1289286179563096,DES,2024,7
ndvi_median,1.05435609485317,DES,2024,7
green_min,1.0458878264562477,DES,2024,7
swir1_median,1.0455523771715507,DES,2024,7
nir_median_dry,1.0338220802865266,DES,2024,7
blue_min,1.0100470810520352,DES,2024,7
hallcover_median,0.9962958458151181,DES,2024,7
savi_median_dry,0.9815300654671023,DES,2024,7
ndvi_median_dry,0.9649494714085176,DES,2024,7
sefi_median,0.9624761706949406,DES,2024,7
npv_min,0.9499467448033245,DES,2024,7
cloud_median_wet,0.9468919533930874,DES,2024,7
wefi_median,0.9340076903256417,DES,2024,7
pri_median_wet,0.932810214581155,DES,2024,7
nir_stdDev,0.9261732913100543,DES,2024,7
cai_stdDev,0.9251202107775512,DES,2024,7
cloud_median_dry,0.8893069567721053,DES,2024,7
cloud_min,0.8881060799071009,DES,2024,7
swir2_median,0.8753948836879022,DES,2024,7
sefi_median_dry,0.8730513957664396,DES,2024,7
nir_median_wet,0.8583698150674652,DES,2024,7
ndwi_stdDev,0.8349195677548087,DES,2024,7
ndfi_stdDev,0.8331526765960398,DES,2024,7
gcvi_median_dry,0.819707580754884,DES,2024,7
gcvi_median,0.8185384832702105,DES,2024,7
nir_min,0.801073723785852,DES,2024,7
shade_median_dry,0.7957384733138222,DES,2024,7
evi2_median_wet,0.7916157489843159,DES,2024,7
swir1_stdDev,0.7874292337502056,DES,2024,7
savi_median,0.7740618122619899,DES,2024,7
swir2_median_wet,0.7665743953474032,DES,2024,7
gvs_max,0.765116269729795,DES,2024,7
shade_median_wet,0.764232459535297,DES,2024,7
shade_median,0.7485096477977251,DES,2024,7
ndfi_max,0.7465382104615281,DES,2024,7
npv_max,0.738909006553517,DES,2024,7
swir1_median_dry,0.7229691246867637,DES,2024,7
ndvi_amp,0.7161207625442417,DES,2024,7
shade_max,0.7106129977000505,DES,2024,7
hallcover_stdDev,0.7059619219334415,DES,2024,7
evi2_amp,0.7046159705150573,DES,2024,7
gcvi_stdDev,0.7044996878442733,DES,2024,7
ndfi_median,0.6958549789417597,DES,2024,7
ndvi_median_wet,0.6925629205971637,DES,2024,7
green_stdDev,0.6867353248403686,DES,2024,7
wefi_median_wet,0.6718809197785788,DES,2024,7
soil_median,0.6662150181066062,DES,2024,7
blue_stdDev,0.6597858210082639,DES,2024,7
savi_median_wet,0.6569199186615748,DES,2024,7
gv_max,0.6550820983863177,DES,2024,7
