band,importance,region,year,sample_version
cloud_median,2.110918424218207,IGP,2007,5
red_median,1.9604711907953778,IGP,2007,5
green_median,1.8367844248032092,IGP,2007,5
cloud_min,1.7680974410474382,IGP,2007,5
nir_median,1.7201364980214782,IGP,2007,5
shade_median,1.7110998174409544,IGP,2007,5
swir1_median_wet,1.590892512360613,IGP,2007,5
gcvi_median,1.5535718219602808,IGP,2007,5
green_median_dry,1.500915895865657,IGP,2007,5
gcvi_median_dry,1.5005158672940162,IGP,2007,5
ndvi_median,1.4831724295602484,IGP,2007,5
swir1_median,1.3985964309805865,IGP,2007,5
green_min,1.3879838776156779,IGP,2007,5
ndwi_median,1.3824679803169249,IGP,2007,5
gcvi_median_wet,1.3320975372469173,IGP,2007,5
green_median_wet,1.3013123366157648,IGP,2007,5
evi2_median,1.2744047855031981,IGP,2007,5
red_median_wet,1.2600505932458888,IGP,2007,5
ndwi_median_dry,1.2332996422055964,IGP,2007,5
nir_median_dry,1.2171317324886677,IGP,2007,5
shade_median_dry,1.2126074007831587,IGP,2007,5
blue_median,1.2054909820265496,IGP,2007,5
blue_median_dry,1.1654133093695684,IGP,2007,5
ndwi_amp,1.145943737703706,IGP,2007,5
npv_median_wet,1.1272821748818365,IGP,2007,5
gcvi_stdDev,1.1207637645003317,IGP,2007,5
nir_min,1.1176718576114886,IGP,2007,5
npv_median,1.1061294830655028,IGP,2007,5
ndfi_stdDev,1.1028780370489086,IGP,2007,5
swir2_stdDev,1.1012987580932796,IGP,2007,5
swir1_stdDev,1.0908000845623094,IGP,2007,5
hallcover_median,1.0736682216347933,IGP,2007,5
shade_max,1.0674503599963974,IGP,2007,5
gvs_amp,1.05209636437487,IGP,2007,5
shade_min,1.039827988130782,IGP,2007,5
sefi_median,1.0129838090989627,IGP,2007,5
ndfi_median,1.0074828902510715,IGP,2007,5
swir2_median_dry,0.9951048569854489,IGP,2007,5
soil_median,0.9861540748779676,IGP,2007,5
ndwi_stdDev,0.9791763775410869,IGP,2007,5
nir_stdDev,0.9722359973855048,IGP,2007,5
soil_max,0.9707407402717073,IGP,2007,5
red_median_dry,0.9685305114806968,IGP,2007,5
pri_median,0.9657513200528841,IGP,2007,5
swir1_median_dry,0.9350569508529505,IGP,2007,5
blue_median_wet,0.9326856309729786,IGP,2007,5
red_stdDev,0.9273286908144743,IGP,2007,5
swir2_median,0.9145369182465936,IGP,2007,5
blue_min,0.9090830923807032,IGP,2007,5
evi2_stdDev,0.8993215855675847,IGP,2007,5
cloud_median_wet,0.8928075323645432,IGP,2007,5
sefi_stdDev,0.8871447136887238,IGP,2007,5
green_median_texture,0.8432776082584525,IGP,2007,5
evi2_median_dry,0.8411844756042157,IGP,2007,5
soil_amp,0.8377598336721958,IGP,2007,5
slope,0.8344706132707448,IGP,2007,5
ndvi_median_dry,0.8253913466103238,IGP,2007,5
soil_median_dry,0.8174858679800654,IGP,2007,5
gvs_stdDev,0.8164029355422187,IGP,2007,5
soil_stdDev,0.8103298339468147,IGP,2007,5
swir1_min,0.8078550733159482,IGP,2007,5
cloud_median_dry,0.8032740561493789,IGP,2007,5
gv_stdDev,0.796399967511389,IGP,2007,5
cai_median,0.7959934638293599,IGP,2007,5
evi2_amp,0.7841883168406262,IGP,2007,5
hallcover_stdDev,0.7592213433767858,IGP,2007,5
gv_amp,0.7403370568532144,IGP,2007,5
npv_amp,0.7191396715273003,IGP,2007,5
savi_median,0.7097239001997465,IGP,2007,5
pri_median_dry,0.7071237713530969,IGP,2007,5
gvs_median,0.6896816837561832,IGP,2007,5
swir2_min,0.6656228218926178,IGP,2007,5
shade_median_wet,0.6648010076541568,IGP,2007,5
ndvi_amp,0.6462826665342483,IGP,2007,5
swir2_median_wet,0.6335023385015797,IGP,2007,5
npv_median_dry,0.6174544921573559,IGP,2007,5
npv_min,0.6125208189550798,IGP,2007,5
red_min,0.6097184959938023,IGP,2007,5
shade_amp,0.5872790940928545,IGP,2007,5
gv_median,0.5814687734856661,IGP,2007,5
cloud_max,0.5814031300099105,IGP,2007,5
ndvi_median_wet,0.5766260869517141,IGP,2007,5
wefi_stdDev,0.5741307409896429,IGP,2007,5
pri_median_wet,0.5701552013927762,IGP,2007,5
savi_median_dry,0.5626732977337671,IGP,2007,5
wefi_amp,0.561518017910084,IGP,2007,5
savi_median_wet,0.5559964047949287,IGP,2007,5
ndvi_stdDev,0.5324116842360934,IGP,2007,5
ndfi_amp,0.5148577300601683,IGP,2007,5
gvs_median_dry,0.5091255083668758,IGP,2007,5
gvs_median_wet,0.5070284273651655,IGP,2007,5
gv_max,0.4933686916136982,IGP,2007,5
cai_median_dry,0.4860457310796213,IGP,2007,5
ndwi_median_wet,0.4768832126927619,IGP,2007,5
gvs_min,0.46992513578523404,IGP,2007,5
savi_stdDev,0.4559620352718782,IGP,2007,5
nir_median_wet,0.4518336715497255,IGP,2007,5
ndfi_max,0.44762732541449934,IGP,2007,5
green_stdDev,0.44688231899674724,IGP,2007,5
gv_median_dry,0.44395567978259703,IGP,2007,5
gv_min,0.41421587518036435,IGP,2007,5
sefi_median_dry,0.41282254249858863,IGP,2007,5
soil_median_wet,0.38666620524860584,IGP,2007,5
evi2_median_wet,0.3842308491567261,IGP,2007,5
wefi_median,0.38389312045214075,IGP,2007,5
shade_stdDev,0.38055855097030866,IGP,2007,5
gvs_max,0.3795938250001801,IGP,2007,5
wefi_median_wet,0.3698934899193981,IGP,2007,5
ndfi_min,0.36466841139737893,IGP,2007,5
soil_min,0.32644597556057486,IGP,2007,5
gv_median_wet,0.3219881799597204,IGP,2007,5
ndfi_median_wet,0.2830929833763311,IGP,2007,5
npv_max,0.2799634697954256,IGP,2007,5
blue_stdDev,0.2654876998184873,IGP,2007,5
cloud_amp,0.24703166494309237,IGP,2007,5
cai_stdDev,0.17622220866756208,IGP,2007,5
npv_stdDev,0.1701498258454937,IGP,2007,5
ndfi_median_dry,0.16547073876129564,IGP,2007,5
cloud_stdDev,0.10193356638094474,IGP,2007,5
